web-scraper-order,web-scraper-start-url,description,prix,Addresse,Images-src,Pagination,Pagination-href
"1729547930-1","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","DES APPARTEMENTS 2 CHAMBRES SALON À LOUER A NGOR ALMADIES  Nous Louons des Appartements de 2 chambres Salon, Toutes les pièces sont climatisées. Il est composè de: 1salle d'eau, 1Toilette Visiteur, Balcon, Cuisine avec Placard  Service gardiennage H24 Niveau: RDC, 1er & 2e Étage  Prix: 400.000F peut être lègerement négociable","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-2","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENTS NON MEUBLE A LOUER AUC ALMADIES","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-3","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-4","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-5","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT F4 À LOUER MAMELLES","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-6","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio séparé à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-7","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio séparé à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-8","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F3 à louer sur la corniche","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-9","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F3 à louer à ouakam monument","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-10","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-11","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio f2 à louer à yoff apres ecobank","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-12","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT F4 À LOUER AU POINT E","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-13","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement neuf f3 belle vue sur mer à louer à ngor non loin de la madrague","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-14","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio séparé à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-15","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio séparé à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-16","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT MEUBLÉ F3 À LOUER NGOR ALMADIES","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-17","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Bureaux à louer VDN","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-18","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT F3 À LOUER NGOR ALMADIES","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-19","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement f3 à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-20","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio f2 à louer à yoff derrière ecobank","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-21","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","TRÈS BEL APPARTEMENT À LOUER","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-22","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement f4 à louer au virage","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-23","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement à louer côté mon prix Ouakam","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-24","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","STUDIO MEUBLÉ A LOUER CORNICHE MAMELLES","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-25","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","LOUE APPARTEMENT F3 MEUBLE KEUR MASSAR 90 M2","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-26","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement f3 vue sur mer à louer à ngor non loin  de la madrague","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-27","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT MEUBLÉ F3 À LOUER SIPRES 2","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-28","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT VIDE A LOUER ONOMO","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-29","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Mini studio a louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-30","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F4 neuf   à louer à zac mbao","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-31","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F4 à louer aux Almadies (recasement)","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-32","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio grand standing de 150 m2 aux mamelles","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-33","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F4 à louer aux Almadies (Recagement )","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-34","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Studio séparé à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-35","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F3 à louer à Almadies (recasement)","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-36","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement F3 à louer Ouakam Comico","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-37","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-38","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","STUDIO MEUBLÉ À LOUER LIBERTÉ 6 EXTENSION","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-39","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement f3 à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-40","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","F5 A LOUER A KOUNOUNE","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-41","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","APPARTEMENT DE TYPE F6 A LOUER A LA CORNICHE MAMELLES","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-42","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","Appartement f3 à louer","","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-43","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","","400 000 FCFA","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-44","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","","Almadies","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-45","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","","362 000 FCFA","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
"1729547930-46","https://dakarvente.com/annonces-categorie-appartements-louer-10.html","","Almadies","","","2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2"
